"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"12","10","2","0","153","2264328","25","567264","7","2328"
"12","10","2","1","80","2264328","21","567264","2","2328"
"12","10","2","2","84","2264328","19","567264","2","2328"
"12","10","2","3","74","2264328","17","567264","2","2328"
"12","10","2","4","72","2264328","15","567264","2","2328"
"12","10","2","5","69","2264328","17","567264","2","2328"
"12","10","2","6","56","2264328","12","567264","3","2328"
"12","10","2","7","49","2264328","12","567264","2","2328"
"12","10","2","8","55","2264328","11","567264","1","2328"
"12","10","2","9","50","2264328","11","567264","1","2328"
"12","10","2","10","47","2264328","11","567264","1","2328"
"12","10","2","11","47","2264328","11","567264","1","2328"
"12","10","2","12","50","2264328","11","567264","0","2328"
"12","10","2","13","45","2264328","12","567264","3","2328"
"12","10","2","14","47","2264328","11","567264","1","2328"
"12","10","2","15","51","2264328","11","567264","1","2328"
"24","10","2","0","105","4528656","23","1134528","2","4656"
"24","10","2","1","103","4528656","23","1134528","2","4656"
"24","10","2","2","109","4528656","23","1134528","1","4656"
"24","10","2","3","100","4528656","24","1134528","1","4656"
"24","10","2","4","99","4528656","24","1134528","1","4656"
"24","10","2","5","103","4528656","25","1134528","1","4656"
"24","10","2","6","116","4528656","26","1134528","2","4656"
"24","10","2","7","109","4528656","23","1134528","1","4656"
"24","10","2","8","103","4528656","24","1134528","2","4656"
"24","10","2","9","104","4528656","23","1134528","1","4656"
"24","10","2","10","103","4528656","24","1134528","1","4656"
"24","10","2","11","100","4528656","22","1134528","2","4656"
"24","10","2","12","102","4528656","25","1134528","1","4656"
"24","10","2","13","109","4528656","24","1134528","1","4656"
"24","10","2","14","102","4528656","23","1134528","2","4656"
"24","10","2","15","103","4528656","23","1134528","2","4656"
"36","10","2","0","122","6792984","26","1701792","2","6984"
"36","10","2","1","130","6792984","25","1701792","2","6984"
"36","10","2","2","121","6792984","25","1701792","2","6984"
"36","10","2","3","124","6792984","26","1701792","2","6984"
"36","10","2","4","120","6792984","26","1701792","1","6984"
"36","10","2","5","124","6792984","25","1701792","1","6984"
"36","10","2","6","121","6792984","26","1701792","2","6984"
"36","10","2","7","125","6792984","27","1701792","1","6984"
"36","10","2","8","125","6792984","26","1701792","1","6984"
"36","10","2","9","125","6792984","26","1701792","1","6984"
"36","10","2","10","121","6792984","26","1701792","2","6984"
"36","10","2","11","122","6792984","25","1701792","1","6984"
"36","10","2","12","118","6792984","28","1701792","2","6984"
"36","10","2","13","124","6792984","26","1701792","1","6984"
"36","10","2","14","120","6792984","28","1701792","1","6984"
"36","10","2","15","126","6792984","26","1701792","2","6984"
"48","10","2","0","162","9057312","35","2269056","2","9312"
"48","10","2","1","156","9057312","34","2269056","2","9312"
"48","10","2","2","158","9057312","34","2269056","1","9312"
"48","10","2","3","156","9057312","32","2269056","2","9312"
"48","10","2","4","152","9057312","34","2269056","2","9312"
"48","10","2","5","162","9057312","33","2269056","2","9312"
"48","10","2","6","159","9057312","32","2269056","2","9312"
"48","10","2","7","163","9057312","32","2269056","2","9312"
"48","10","2","8","156","9057312","35","2269056","2","9312"
"48","10","2","9","159","9057312","34","2269056","2","9312"
"48","10","2","10","157","9057312","32","2269056","1","9312"
"48","10","2","11","159","9057312","33","2269056","2","9312"
"48","10","2","12","155","9057312","32","2269056","2","9312"
"48","10","2","13","155","9057312","33","2269056","2","9312"
"48","10","2","14","160","9057312","34","2269056","1","9312"
"48","10","2","15","160","9057312","33","2269056","2","9312"
"60","10","2","0","232","11321640","49","2836320","2","11640"
"60","10","2","1","229","11321640","51","2836320","2","11640"
"60","10","2","2","235","11321640","50","2836320","3","11640"
"60","10","2","3","237","11321640","48","2836320","2","11640"
"60","10","2","4","236","11321640","49","2836320","2","11640"
"60","10","2","5","234","11321640","48","2836320","1","11640"
"60","10","2","6","230","11321640","50","2836320","2","11640"
"60","10","2","7","229","11321640","50","2836320","2","11640"
"60","10","2","8","235","11321640","52","2836320","2","11640"
"60","10","2","9","234","11321640","48","2836320","2","11640"
"60","10","2","10","231","11321640","51","2836320","2","11640"
"60","10","2","11","233","11321640","49","2836320","2","11640"
"60","10","2","12","233","11321640","49","2836320","2","11640"
"60","10","2","13","229","11321640","50","2836320","2","11640"
"60","10","2","14","232","11321640","49","2836320","2","11640"
"60","10","2","15","234","11321640","51","2836320","3","11640"
"72","10","2","0","261","13585968","57","3403584","2","13968"
"72","10","2","1","261","13585968","56","3403584","2","13968"
"72","10","2","2","260","13585968","55","3403584","5","13968"
"72","10","2","3","258","13585968","55","3403584","3","13968"
"72","10","2","4","260","13585968","54","3403584","3","13968"
"72","10","2","5","265","13585968","58","3403584","2","13968"
"72","10","2","6","261","13585968","54","3403584","2","13968"
"72","10","2","7","257","13585968","56","3403584","3","13968"
"72","10","2","8","257","13585968","55","3403584","2","13968"
"72","10","2","9","261","13585968","55","3403584","2","13968"
"72","10","2","10","258","13585968","57","3403584","2","13968"
"72","10","2","11","263","13585968","55","3403584","2","13968"
"72","10","2","12","258","13585968","56","3403584","3","13968"
"72","10","2","13","261","13585968","55","3403584","2","13968"
"72","10","2","14","261","13585968","55","3403584","2","13968"
"72","10","2","15","262","13585968","56","3403584","2","13968"
"84","10","2","0","302","15850296","63","3970848","3","16296"
"84","10","2","1","300","15850296","62","3970848","2","16296"
"84","10","2","2","302","15850296","64","3970848","2","16296"
"84","10","2","3","299","15850296","63","3970848","2","16296"
"84","10","2","4","302","15850296","64","3970848","2","16296"
"84","10","2","5","304","15850296","63","3970848","2","16296"
"84","10","2","6","302","15850296","63","3970848","2","16296"
"84","10","2","7","300","15850296","64","3970848","2","16296"
"84","10","2","8","303","15850296","63","3970848","2","16296"
"84","10","2","9","300","15850296","64","3970848","2","16296"
"84","10","2","10","305","15850296","66","3970848","2","16296"
"84","10","2","11","301","15850296","62","3970848","3","16296"
"84","10","2","12","300","15850296","62","3970848","2","16296"
"84","10","2","13","305","15850296","63","3970848","2","16296"
"84","10","2","14","299","15850296","63","3970848","3","16296"
"84","10","2","15","301","15850296","62","3970848","2","16296"
"96","10","2","0","362","18114624","77","4538112","3","18624"
"96","10","2","1","363","18114624","77","4538112","3","18624"
"96","10","2","2","368","18114624","77","4538112","2","18624"
"96","10","2","3","359","18114624","76","4538112","3","18624"
