"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"100","10","1","0","2982","9816516","86","517716","2","1644"
"100","10","1","1","2969","9816516","86","517716","3","1644"
"100","10","1","2","2997","9816516","83","517716","3","1644"
"100","10","1","3","3311","9816516","131","517716","3","1644"
"100","10","1","4","3110","9816516","84","517716","3","1644"
"100","10","1","5","2992","9816516","85","517716","2","1644"
"100","10","1","6","3143","9816516","88","517716","2","1644"
"100","10","1","7","3022","9816516","85","517716","2","1644"
"100","10","1","8","2977","9816516","86","517716","2","1644"
"100","10","1","9","3010","9816516","87","517716","2","1644"
"100","10","1","10","2973","9816516","86","517716","2","1644"
"100","10","1","11","2979","9816516","87","517716","2","1644"
"100","10","1","12","2992","9816516","85","517716","3","1644"
"100","10","1","13","2982","9816516","83","517716","3","1644"
"100","10","1","14","2958","9816516","84","517716","2","1644"
"100","10","1","15","2978","9816516","85","517716","2","1644"
"100","10","2","0","2916","10283820","82","542328","3","1680"
"100","10","2","1","2919","10283820","83","542328","3","1680"
"100","10","2","2","2902","10283820","81","542328","3","1680"
"100","10","2","3","2911","10283820","82","542328","3","1680"
"100","10","2","4","2898","10283820","81","542328","2","1680"
"100","10","2","5","2902","10283820","84","542328","3","1680"
"100","10","2","6","2905","10283820","80","542328","2","1680"
"100","10","2","7","2910","10283820","80","542328","2","1680"
"100","10","2","8","2903","10283820","80","542328","2","1680"
"100","10","2","9","2904","10283820","87","542328","3","1680"
"100","10","2","10","2905","10283820","82","542328","3","1680"
"100","10","2","11","2906","10283820","82","542328","2","1680"
"100","10","2","12","2904","10283820","82","542328","2","1680"
"100","10","2","13","2915","10283820","82","542328","2","1680"
"100","10","2","14","2905","10283820","82","542328","3","1680"
"100","10","2","15","2918","10283820","82","542328","2","1680"
"100","10","3","0","3042","10751124","90","566940","2","1716"
"100","10","3","1","3057","10751124","88","566940","3","1716"
"100","10","3","2","3044","10751124","90","566940","2","1716"
"100","10","3","3","3058","10751124","89","566940","2","1716"
"100","10","3","4","3045","10751124","90","566940","2","1716"
"100","10","3","5","3061","10751124","88","566940","3","1716"
"100","10","3","6","3037","10751124","90","566940","3","1716"
"100","10","3","7","3060","10751124","89","566940","2","1716"
"100","10","3","8","3043","10751124","93","566940","2","1716"
"100","10","3","9","3058","10751124","88","566940","2","1716"
"100","10","3","10","3041","10751124","90","566940","2","1716"
"100","10","3","11","3104","10751124","87","566940","3","1716"
"100","10","3","12","3075","10751124","91","566940","3","1716"
"100","10","3","13","3047","10751124","89","566940","2","1716"
"100","10","3","14","3044","10751124","90","566940","2","1716"
"100","10","3","15","3098","10751124","102","566940","3","1716"
"100","10","4","0","3278","11218428","91","591552","3","1752"
"100","10","4","1","3053","11218428","89","591552","3","1752"
"100","10","4","2","3037","11218428","91","591552","2","1752"
"100","10","4","3","3052","11218428","89","591552","3","1752"
"100","10","4","4","3086","11218428","93","591552","2","1752"
"100","10","4","5","3109","11218428","89","591552","2","1752"
"100","10","4","6","3023","11218428","102","591552","3","1752"
"100","10","4","7","3082","11218428","99","591552","3","1752"
"100","10","4","8","3030","11218428","92","591552","2","1752"
"100","10","4","9","3069","11218428","90","591552","2","1752"
"100","10","4","10","3058","11218428","93","591552","3","1752"
"100","10","4","11","3057","11218428","88","591552","2","1752"
"100","10","4","12","3045","11218428","93","591552","2","1752"
"100","10","4","13","3059","11218428","90","591552","3","1752"
"100","10","4","14","3047","11218428","93","591552","2","1752"
"100","10","4","15","3062","11218428","89","591552","3","1752"
"100","10","5","0","2972","11685732","88","616164","2","1788"
"100","10","5","1","2950","11685732","87","616164","3","1788"
"100","10","5","2","2978","11685732","85","616164","3","1788"
"100","10","5","3","2962","11685732","84","616164","3","1788"
"100","10","5","4","2957","11685732","85","616164","3","1788"
"100","10","5","5","2947","11685732","87","616164","2","1788"
"100","10","5","6","2982","11685732","86","616164","2","1788"
"100","10","5","7","2961","11685732","86","616164","3","1788"
"100","10","5","8","2963","11685732","86","616164","2","1788"
"100","10","5","9","2958","11685732","87","616164","3","1788"
"100","10","5","10","2987","11685732","85","616164","2","1788"
"100","10","5","11","2956","11685732","86","616164","3","1788"
"100","10","5","12","2962","11685732","85","616164","2","1788"
"100","10","5","13","2956","11685732","88","616164","2","1788"
"100","10","5","14","2981","11685732","84","616164","2","1788"
"100","10","5","15","2957","11685732","85","616164","3","1788"
