"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"100","2","1","0","266","960516","79","320820","3","1164"
"100","2","1","1","265","960516","86","320820","2","1164"
"100","2","1","2","341","960516","91","320820","1","1164"
"100","2","1","3","276","960516","83","320820","2","1164"
"100","2","1","4","256","960516","78","320820","1","1164"
"100","2","1","5","259","960516","81","320820","2","1164"
"100","2","1","6","260","960516","77","320820","1","1164"
"100","2","1","7","259","960516","78","320820","2","1164"
"100","2","1","8","257","960516","78","320820","1","1164"
"100","2","1","9","259","960516","80","320820","1","1164"
"100","2","1","10","259","960516","80","320820","2","1164"
"100","2","1","11","256","960516","79","320820","2","1164"
"100","2","1","12","260","960516","79","320820","1","1164"
"100","2","1","13","257","960516","79","320820","2","1164"
"100","2","1","14","257","960516","80","320820","2","1164"
"100","2","1","15","255","960516","79","320820","3","1164"
"100","3","1","0","514","1723200","87","345432","1","1224"
"100","3","1","1","513","1723200","86","345432","2","1224"
"100","3","1","2","506","1723200","84","345432","3","1224"
"100","3","1","3","505","1723200","85","345432","1","1224"
"100","3","1","4","508","1723200","88","345432","1","1224"
"100","3","1","5","507","1723200","85","345432","3","1224"
"100","3","1","6","506","1723200","86","345432","2","1224"
"100","3","1","7","504","1723200","87","345432","2","1224"
"100","3","1","8","502","1723200","85","345432","2","1224"
"100","3","1","9","507","1723200","87","345432","2","1224"
"100","3","1","10","504","1723200","85","345432","1","1224"
"100","3","1","11","504","1723200","85","345432","2","1224"
"100","3","1","12","507","1723200","85","345432","2","1224"
"100","3","1","13","506","1723200","86","345432","2","1224"
"100","3","1","14","505","1723200","85","345432","2","1224"
"100","3","1","15","506","1723200","86","345432","2","1224"
"100","4","1","0","758","2584260","92","370044","2","1284"
"100","4","1","1","765","2584260","84","370044","2","1284"
"100","4","1","2","760","2584260","85","370044","1","1284"
"100","4","1","3","760","2584260","84","370044","2","1284"
"100","4","1","4","765","2584260","82","370044","2","1284"
"100","4","1","5","781","2584260","86","370044","1","1284"
"100","4","1","6","761","2584260","85","370044","1","1284"
"100","4","1","7","758","2584260","86","370044","1","1284"
"100","4","1","8","764","2584260","84","370044","2","1284"
"100","4","1","9","758","2584260","85","370044","2","1284"
"100","4","1","10","762","2584260","83","370044","1","1284"
"100","4","1","11","768","2584260","83","370044","2","1284"
"100","4","1","12","757","2584260","85","370044","1","1284"
"100","4","1","13","759","2584260","83","370044","2","1284"
"100","4","1","14","758","2584260","85","370044","2","1284"
"100","4","1","15","759","2584260","85","370044","1","1284"
"100","5","1","0","1059","3543696","86","394656","2","1344"
"100","5","1","1","1060","3543696","86","394656","1","1344"
"100","5","1","2","1069","3543696","84","394656","2","1344"
"100","5","1","3","1071","3543696","84","394656","2","1344"
"100","5","1","4","1061","3543696","85","394656","1","1344"
"100","5","1","5","1061","3543696","87","394656","1","1344"
"100","5","1","6","1059","3543696","86","394656","2","1344"
"100","5","1","7","1063","3543696","84","394656","1","1344"
