"epw","query_num","iter","greedy_time","greedy_throu","greedy_snap","normal_time","normal_throu","normal_snap","notshare_time","notshare_throu"
"500000","12","0","109","4587","688","12","41666","344","110","4545"
"500000","12","1","110","4545","688","12","41666","344","105","4761"
"500000","12","2","110","4545","688","13","38461","344","106","4716"
"500000","12","3","110","4545","688","13","38461","344","111","4504"
"500000","12","4","117","4273","688","13","38461","344","116","4310"
"500000","12","5","123","4065","688","13","38461","344","122","4098"
"500000","24","0","193","2590","1376","31","16129","688","195","2564"
"500000","24","1","186","2688","1376","29","17241","688","197","2538"
"500000","24","2","196","2551","1376","28","17857","688","192","2604"
"500000","24","3","195","2564","1376","28","17857","688","200","2500"
"500000","24","4","199","2512","1376","28","17857","688","197","2538"
"500000","24","5","193","2590","1376","27","18518","688","197","2538"
"500000","36","0","307","1628","2064","41","12195","1032","296","1689"
"500000","36","1","313","1597","2064","39","12820","1032","311","1607"
"500000","36","2","304","1644","2064","39","12820","1032","304","1644"
"500000","36","3","297","1683","2064","38","13157","1032","309","1618"
"500000","36","4","306","1633","2064","38","13157","1032","302","1655"
"500000","36","5","302","1655","2064","38","13157","1032","303","1650"
"500000","48","0","440","1136","2752","53","9433","1376","466","1072"
"500000","48","1","430","1162","2752","61","8196","1376","462","1082"
"500000","48","2","438","1141","2752","53","9433","1376","464","1077"
"500000","48","3","440","1136","2752","52","9615","1376","453","1103"
"500000","48","4","446","1121","2752","53","9433","1376","456","1096"
"500000","48","5","440","1136","2752","59","8474","1376","467","1070"
"500000","60","0","532","939","3440","64","7812","1720","560","892"
"500000","60","1","534","936","3440","61","8196","1720","555","900"
"500000","60","2","529","945","3440","69","7246","1720","567","881"
"500000","60","3","539","927","3440","73","6849","1720","542","922"
"500000","60","4","551","907","3440","74","6756","1720","573","872"
"500000","60","5","547","914","3440","65","7692","1720","565","884"
"500000","72","0","646","773","4128","74","6756","2064","661","756"
"500000","72","1","654","764","4128","73","6849","2064","659","758"
"500000","72","2","659","758","4128","73","6849","2064","664","753"
"500000","72","3","651","768","4128","72","6944","2064","665","751"
"500000","72","4","671","745","4128","85","5882","2064","676","739"
"500000","72","5","643","777","4128","79","6329","2064","669","747"
"500000","84","0","766","652","4816","98","5102","2408","784","637"
"500000","84","1","755","662","4816","85","5882","2408","763","655"
"500000","84","2","752","664","4816","89","5617","2408","778","642"
"500000","84","3","761","657","4816","84","5952","2408","761","657"
"500000","84","4","754","663","4816","87","5747","2408","762","656"
"500000","84","5","761","657","4816","91","5494","2408","779","641"
"500000","96","0","871","574","5504","99","5050","2752","912","548"
"500000","96","1","879","568","5504","99","5050","2752","895","558"
"500000","96","2","876","570","5504","98","5102","2752","878","569"
"500000","96","3","880","568","5504","141","3546","2752","1236","404"
"500000","96","4","883","566","5504","97","5154","2752","914","547"
"500000","96","5","904","553","5504","96","5208","2752","899","556"
"500000","108","0","1006","497","6192","109","4587","3096","1076","464"
"500000","108","1","1025","487","6192","127","3937","3096","1007","496"
"500000","108","2","992","504","6192","108","4629","3096","997","501"
"500000","108","3","997","501","6192","125","4000","3096","1002","499"
"500000","108","4","997","501","6192","107","4672","3096","999","500"
"500000","108","5","980","510","6192","114","4385","3096","1004","498"
"500000","120","0","1099","454","6880","121","4132","3440","1113","449"
"500000","120","1","1096","456","6880","121","4132","3440","1104","452"
"500000","120","2","1099","454","6880","123","4065","3440","1127","443"
"500000","120","3","1105","452","6880","118","4237","3440","1124","444"
"500000","120","4","1085","460","6880","122","4098","3440","1127","443"
"500000","120","5","1097","455","6880","119","4201","3440","1116","448"
