"epw","query_num","iter","greedy_time","greedy_throu","greedy_snap","normal_time","normal_throu","normal_snap","notshare_time","notshare_throu"
"500000","12","0","454","1101","629","156","3205","922","374","1336"
"500000","12","1","291","1718","629","84","5952","922","220","2272"
"500000","12","2","274","1824","629","82","6097","922","173","2890"
"500000","12","3","273","1831","629","67","7462","922","236","2118"
"500000","12","4","277","1805","629","64","7812","922","221","2262"
"500000","12","5","270","1851","629","64","7812","922","229","2183"
"500000","24","0","556","899","1293","114","4385","1784","414","1207"
"500000","24","1","549","910","1293","116","4310","1784","388","1288"
"500000","24","2","523","956","1293","121","4132","1784","403","1240"
"500000","24","3","540","925","1293","116","4310","1784","396","1262"
"500000","24","4","615","813","1293","133","3759","1784","422","1184"
"500000","24","5","585","854","1293","125","4000","1784","403","1240"
"500000","36","0","844","592","1957","208","2403","2698","661","756"
"500000","36","1","822","608","1957","181","2762","2698","614","814"
"500000","36","2","806","620","1957","171","2923","2698","608","822"
"500000","36","3","851","587","1957","178","2808","2698","617","810"
"500000","36","4","789","633","1957","178","2808","2698","631","792"
"500000","36","5","785","636","1957","177","2824","2698","618","809"
"500000","48","0","1184","422","2621","434","1152","3722","814","614"
"500000","48","1","1182","423","2621","337","1483","3722","807","619"
"500000","48","2","1171","426","2621","317","1577","3722","829","603"
"500000","48","3","1161","430","2621","404","1237","3722","784","637"
"500000","48","4","1318","379","2621","612","816","3722","793","630"
"500000","48","5","1172","426","2621","320","1562","3722","861","580"
"500000","60","0","1511","330","3285","418","1196","4664","995","502"
"500000","60","1","1878","266","3285","381","1312","4664","1049","476"
"500000","60","2","1436","348","3285","431","1160","4664","973","513"
"500000","60","3","1417","352","3285","423","1182","4664","1001","499"
"500000","60","4","1410","354","3285","414","1207","4664","1092","457"
"500000","60","5","1597","313","3285","418","1196","4664","991","504"
"500000","72","0","1823","274","3949","521","959","5576","1367","365"
"500000","72","1","1938","257","3949","541","924","5576","1315","380"
"500000","72","2","1857","269","3949","576","868","5576","1259","397"
"500000","72","3","1804","277","3949","596","838","5576","1374","363"
"500000","72","4","1840","271","3949","559","894","5576","1236","404"
"500000","72","5","1866","267","3949","544","919","5576","1272","393"
"500000","84","0","2281","219","4613","689","725","6576","1615","309"
"500000","84","1","2358","212","4613","702","712","6576","1432","349"
"500000","84","2","2156","231","4613","686","728","6576","1345","371"
"500000","84","3","2133","234","4613","706","708","6576","1313","380"
"500000","84","4","2319","215","4613","667","749","6576","1531","326"
"500000","84","5","2225","224","4613","676","739","6576","1399","357"
"500000","96","0","2437","205","5242","779","641","7534","1639","305"
"500000","96","1","2583","193","5242","735","680","7534","1589","314"
"500000","96","2","2423","206","5242","807","619","7534","1546","323"
"500000","96","3","2544","196","5242","719","695","7534","1686","296"
"500000","96","4","2554","195","5242","761","657","7534","1560","320"
"500000","96","5","2486","201","5242","762","656","7534","1629","306"
"500000","108","0","2883","173","5906","803","622","8406","1741","287"
"500000","108","1","2849","175","5906","833","600","8406","1839","271"
"500000","108","2","2887","173","5906","796","628","8406","1895","263"
"500000","108","3","2993","167","5906","824","606","8406","1732","288"
"500000","108","4","3082","162","5906","820","609","8406","1837","272"
"500000","108","5","2778","179","5906","846","591","8406","2075","240"
"500000","120","0","3160","158","6570","919","544","9158","2048","244"
"500000","120","1","3062","163","6570","860","581","9158","1948","256"
"500000","120","2","3117","160","6570","953","524","9158","2003","249"
"500000","120","3","3079","162","6570","865","578","9158","1966","254"
"500000","120","4","3077","162","6570","867","576","9158","2129","234"
"500000","120","5","3171","157","6570","838","596","9158","1972","253"
