"epw","query_num","iter","greedy_time","greedy_throu","greedy_snap","normal_time","normal_throu","normal_snap","notshare_time","notshare_throu"
"500000","12","0","1248","400","176","261","1915","279","1076","464"
"500000","12","1","1343","372","176","210","2380","279","992","504"
"500000","12","2","1230","406","176","351","1424","279","1085","460"
"500000","12","3","1375","363","176","353","1416","279","1158","431"
"500000","12","4","1255","398","176","324","1543","279","1080","462"
"500000","12","5","1204","415","176","258","1937","279","1083","461"
"500000","24","0","2278","219","352","533","938","701","1651","302"
"500000","24","1","2286","218","352","423","1182","701","1807","276"
"500000","24","2","2173","230","352","487","1026","701","1682","297"
"500000","24","3","2162","231","352","535","934","701","1697","294"
"500000","24","4","2177","229","352","425","1176","701","1770","282"
"500000","24","5","2244","222","352","427","1170","701","1677","298"
"500000","36","0","3689","135","528","890","561","1046","2803","178"
"500000","36","1","3678","135","528","958","521","1046","2805","178"
"500000","36","2","3509","142","528","896","558","1046","2556","195"
"500000","36","3","3772","132","528","878","569","1046","2650","188"
"500000","36","4","3641","137","528","965","518","1046","2760","181"
"500000","36","5","3658","136","528","921","542","1046","2585","193"
"500000","48","0","5067","98","704","1240","403","1412","3526","141"
"500000","48","1","5072","98","704","1167","428","1412","3409","146"
"500000","48","2","4955","100","704","1408","355","1412","3659","136"
"500000","48","3","4982","100","704","1337","373","1412","3675","136"
"500000","48","4","4944","101","704","1062","470","1412","3339","149"
"500000","48","5","4991","100","704","1207","414","1412","3447","145"
"500000","60","0","6207","80","880","1265","395","1770","4174","119"
"500000","60","1","5907","84","880","1291","387","1770","4156","120"
"500000","60","2","5875","85","880","1253","399","1770","4030","124"
"500000","60","3","6036","82","880","1312","381","1770","4250","117"
"500000","60","4","6254","79","880","1275","392","1770","4123","121"
"500000","60","5","6094","82","880","1325","377","1770","4097","122"
"500000","72","0","7764","64","1056","1590","314","2123","5270","94"
"500000","72","1","7414","67","1056","1769","282","2123","5516","90"
"500000","72","2","7366","67","1056","1696","294","2123","5284","94"
"500000","72","3","6977","71","1056","1860","268","2123","5607","89"
"500000","72","4","7395","67","1056","1622","308","2123","5248","95"
"500000","72","5","7217","69","1056","1636","305","2123","5197","96"
"500000","84","0","8229","60","1232","1828","273","2433","6438","77"
"500000","84","1","8717","57","1232","1960","255","2433","6413","77"
"500000","84","2","8882","56","1232","1981","252","2433","6431","77"
"500000","84","3","9276","53","1232","1854","269","2433","6332","78"
"500000","84","4","8587","58","1232","2000","250","2433","6477","77"
"500000","84","5","9121","54","1232","2106","237","2433","6382","78"
"500000","96","0","11560","43","1408","2195","227","2827","7965","62"
"500000","96","1","12195","41","1408","2482","201","2827","8156","61"
"500000","96","2","12871","38","1408","2407","207","2827","7992","62"
"500000","96","3","12286","40","1408","2283","219","2827","7665","65"
"500000","96","4","11632","42","1408","2268","220","2827","7288","68"
"500000","96","5","10534","47","1408","2327","214","2827","7638","65"
"500000","108","0","13273","37","1584","2652","188","3193","8751","57"
"500000","108","1","12490","40","1584","2450","204","3193","8509","58"
"500000","108","2","11870","42","1584","2613","191","3193","8757","57"
"500000","108","3","12110","41","1584","2553","195","3193","8348","59"
"500000","108","4","13197","37","1584","2612","191","3193","8551","58"
"500000","108","5","12633","39","1584","2689","185","3193","8636","57"
"500000","120","0","13298","37","1760","2808","178","3483","9908","50"
"500000","120","1","13451","37","1760","2965","168","3483","9628","51"
"500000","120","2","13303","37","1760","2858","174","3483","9558","52"
"500000","120","3","13420","37","1760","2929","170","3483","9841","50"
"500000","120","4","13626","36","1760","2946","169","3483","9326","53"
"500000","120","5","13573","36","1760","2809","177","3483","9780","51"
