  "QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"12","10","2","0","155","2264328","27","567264","5","2328"
"12","10","2","1","96","2264328","17","567264","3","2328"
"12","10","2","2","67","2264328","16","567264","3","2328"
"12","10","2","3","60","2264328","13","567264","2","2328"
"12","10","2","4","58","2264328","14","567264","2","2328"
"12","10","2","5","56","2264328","14","567264","1","2328"
"12","10","2","6","56","2264328","12","567264","2","2328"
"12","10","2","7","53","2264328","11","567264","1","2328"
"12","10","2","8","48","2264328","16","567264","1","2328"
"12","10","2","9","50","2264328","12","567264","1","2328"
"12","10","2","10","48","2264328","13","567264","1","2328"
"12","10","2","11","50","2264328","12","567264","3","2328"
"12","10","2","12","51","2264328","12","567264","2","2328"
"12","10","2","13","47","2264328","11","567264","1","2328"
"12","10","2","14","50","2264328","12","567264","1","2328"
"12","10","2","15","55","2264328","11","567264","2","2328"
"24","10","2","0","75","4528656","19","1134528","2","4656"
"24","10","2","1","75","4528656","19","1134528","2","4656"
"24","10","2","2","79","4528656","20","1134528","2","4656"
"24","10","2","3","83","4528656","19","1134528","2","4656"
"24","10","2","4","81","4528656","20","1134528","2","4656"
"24","10","2","5","83","4528656","18","1134528","2","4656"
"24","10","2","6","81","4528656","16","1134528","2","4656"
"24","10","2","7","75","4528656","17","1134528","1","4656"
"24","10","2","8","76","4528656","18","1134528","2","4656"
"24","10","2","9","79","4528656","18","1134528","2","4656"
"24","10","2","10","76","4528656","19","1134528","1","4656"
"24","10","2","11","76","4528656","17","1134528","1","4656"
"24","10","2","12","81","4528656","19","1134528","1","4656"
"24","10","2","13","83","4528656","17","1134528","1","4656"
"24","10","2","14","79","4528656","18","1134528","1","4656"
"24","10","2","15","81","4528656","17","1134528","1","4656"
"36","10","2","0","130","6792984","29","1701792","2","6984"
"36","10","2","1","133","6792984","29","1701792","2","6984"
"36","10","2","2","130","6792984","28","1701792","1","6984"
"36","10","2","3","127","6792984","31","1701792","1","6984"
"36","10","2","4","125","6792984","28","1701792","2","6984"
"36","10","2","5","129","6792984","28","1701792","1","6984"
"36","10","2","6","127","6792984","29","1701792","1","6984"
