"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"12","10","2","0","44","2264328","9","567264","1","2328"
"12","10","2","1","43","2264328","9","567264","1","2328"
"12","10","2","2","43","2264328","9","567264","1","2328"
"12","10","2","3","44","2264328","10","567264","1","2328"
"12","10","2","4","41","2264328","9","567264","0","2328"
"12","10","2","5","42","2264328","8","567264","0","2328"
"12","10","2","6","41","2264328","9","567264","0","2328"
"12","10","2","7","42","2264328","8","567264","0","2328"
"12","10","2","8","42","2264328","9","567264","0","2328"
"12","10","2","9","44","2264328","10","567264","0","2328"
"12","10","2","10","41","2264328","9","567264","0","2328"
"12","10","2","11","43","2264328","9","567264","1","2328"
"12","10","2","12","42","2264328","9","567264","1","2328"
"12","10","2","13","41","2264328","10","567264","1","2328"
"12","10","2","14","40","2264328","9","567264","0","2328"
"12","10","2","15","42","2264328","10","567264","0","2328"
"24","10","2","0","68","4528656","15","1134528","1","4656"
"24","10","2","1","72","4528656","16","1134528","1","4656"
"24","10","2","2","73","4528656","15","1134528","1","4656"
"24","10","2","3","72","4528656","15","1134528","1","4656"
"24","10","2","4","73","4528656","14","1134528","1","4656"
"24","10","2","5","72","4528656","16","1134528","0","4656"
"24","10","2","6","70","4528656","16","1134528","0","4656"
"24","10","2","7","70","4528656","16","1134528","1","4656"
"24","10","2","8","77","4528656","15","1134528","0","4656"
"24","10","2","9","69","4528656","15","1134528","0","4656"
"24","10","2","10","71","4528656","15","1134528","0","4656"
"24","10","2","11","71","4528656","16","1134528","1","4656"
"24","10","2","12","71","4528656","15","1134528","1","4656"
"24","10","2","13","71","4528656","14","1134528","1","4656"
"24","10","2","14","72","4528656","16","1134528","0","4656"
"24","10","2","15","72","4528656","15","1134528","1","4656"
"36","10","2","0","120","6792984","26","1701792","1","6984"
"36","10","2","1","123","6792984","27","1701792","1","6984"
"36","10","2","2","120","6792984","25","1701792","1","6984"
"36","10","2","3","123","6792984","28","1701792","1","6984"
"36","10","2","4","122","6792984","25","1701792","1","6984"
"36","10","2","5","121","6792984","27","1701792","1","6984"
"36","10","2","6","120","6792984","26","1701792","1","6984"
"36","10","2","7","124","6792984","26","1701792","1","6984"
"36","10","2","8","119","6792984","27","1701792","1","6984"
"36","10","2","9","121","6792984","26","1701792","1","6984"
"36","10","2","10","118","6792984","26","1701792","1","6984"
"36","10","2","11","121","6792984","26","1701792","1","6984"
"36","10","2","12","125","6792984","28","1701792","2","6984"
"36","10","2","13","126","6792984","27","1701792","1","6984"
"36","10","2","14","122","6792984","26","1701792","2","6984"
"36","10","2","15","121","6792984","26","1701792","2","6984"
"48","10","2","0","156","9057312","33","2269056","1","9312"
"48","10","2","1","159","9057312","34","2269056","1","9312"
"48","10","2","2","152","9057312","34","2269056","2","9312"
"48","10","2","3","153","9057312","33","2269056","1","9312"
"48","10","2","4","152","9057312","33","2269056","2","9312"
"48","10","2","5","155","9057312","33","2269056","2","9312"
"48","10","2","6","151","9057312","33","2269056","2","9312"
"48","10","2","7","154","9057312","35","2269056","1","9312"
"48","10","2","8","153","9057312","33","2269056","2","9312"
"48","10","2","9","156","9057312","32","2269056","2","9312"
"48","10","2","10","156","9057312","32","2269056","2","9312"
"48","10","2","11","153","9057312","34","2269056","2","9312"
"48","10","2","12","151","9057312","33","2269056","3","9312"
"48","10","2","13","154","9057312","33","2269056","1","9312"
"48","10","2","14","154","9057312","33","2269056","2","9312"
"48","10","2","15","153","9057312","32","2269056","2","9312"
"60","10","2","0","200","11321640","43","2836320","1","11640"
"60","10","2","1","199","11321640","42","2836320","2","11640"
"60","10","2","2","199","11321640","43","2836320","2","11640"
"60","10","2","3","202","11321640","42","2836320","2","11640"
"60","10","2","4","198","11321640","44","2836320","1","11640"
"60","10","2","5","199","11321640","44","2836320","2","11640"
"60","10","2","6","201","11321640","42","2836320","2","11640"
"60","10","2","7","204","11321640","40","2836320","2","11640"
"60","10","2","8","202","11321640","45","2836320","1","11640"
"60","10","2","9","201","11321640","42","2836320","2","11640"
"60","10","2","10","201","11321640","42","2836320","2","11640"
"60","10","2","11","198","11321640","44","2836320","2","11640"
"60","10","2","12","200","11321640","42","2836320","2","11640"
"60","10","2","13","199","11321640","43","2836320","2","11640"
"60","10","2","14","198","11321640","44","2836320","2","11640"
"60","10","2","15","204","11321640","43","2836320","1","11640"
"72","10","2","0","224","13585968","47","3403584","2","13968"
"72","10","2","1","218","13585968","47","3403584","2","13968"
"72","10","2","2","216","13585968","48","3403584","2","13968"
"72","10","2","3","220","13585968","46","3403584","2","13968"
"72","10","2","4","217","13585968","48","3403584","2","13968"
"72","10","2","5","219","13585968","46","3403584","2","13968"
"72","10","2","6","219","13585968","46","3403584","2","13968"
"72","10","2","7","216","13585968","49","3403584","2","13968"
"72","10","2","8","223","13585968","47","3403584","2","13968"
"72","10","2","9","218","13585968","48","3403584","2","13968"
"72","10","2","10","219","13585968","46","3403584","2","13968"
"72","10","2","11","220","13585968","48","3403584","2","13968"
"72","10","2","12","220","13585968","49","3403584","2","13968"
"72","10","2","13","217","13585968","46","3403584","2","13968"
"72","10","2","14","218","13585968","47","3403584","2","13968"
"72","10","2","15","217","13585968","46","3403584","2","13968"
"84","10","2","0","281","15850296","61","3970848","3","16296"
"84","10","2","1","281","15850296","62","3970848","3","16296"
"84","10","2","2","282","15850296","61","3970848","2","16296"
"84","10","2","3","281","15850296","61","3970848","2","16296"
"84","10","2","4","280","15850296","62","3970848","2","16296"
"84","10","2","5","277","15850296","63","3970848","2","16296"
"84","10","2","6","282","15850296","60","3970848","3","16296"
"84","10","2","7","279","15850296","65","3970848","2","16296"
"84","10","2","8","282","15850296","62","3970848","2","16296"
"84","10","2","9","282","15850296","61","3970848","3","16296"
"84","10","2","10","285","15850296","60","3970848","2","16296"
"84","10","2","11","286","15850296","62","3970848","2","16296"
"84","10","2","12","281","15850296","62","3970848","2","16296"
"84","10","2","13","283","15850296","61","3970848","2","16296"
"84","10","2","14","282","15850296","61","3970848","3","16296"
"84","10","2","15","283","15850296","61","3970848","2","16296"
"96","10","2","0","291","18114624","64","4538112","3","18624"
"96","10","2","1","290","18114624","61","4538112","2","18624"
"96","10","2","2","291","18114624","63","4538112","2","18624"
"96","10","2","3","299","18114624","65","4538112","2","18624"
"96","10","2","4","289","18114624","62","4538112","3","18624"
"96","10","2","5","291","18114624","62","4538112","3","18624"
"96","10","2","6","294","18114624","62","4538112","3","18624"
"96","10","2","7","288","18114624","63","4538112","3","18624"
"96","10","2","8","292","18114624","60","4538112","3","18624"
"96","10","2","9","296","18114624","62","4538112","3","18624"
"96","10","2","10","295","18114624","61","4538112","3","18624"
"96","10","2","11","289","18114624","62","4538112","3","18624"
"96","10","2","12","290","18114624","62","4538112","3","18624"
"96","10","2","13","293","18114624","62","4538112","2","18624"
"96","10","2","14","291","18114624","63","4538112","2","18624"
"96","10","2","15","290","18114624","60","4538112","2","18624"
"108","10","2","0","358","20378952","78","5105376","3","20952"
"108","10","2","1","359","20378952","77","5105376","3","20952"
"108","10","2","2","359","20378952","77","5105376","3","20952"
"108","10","2","3","358","20378952","77","5105376","3","20952"
"108","10","2","4","360","20378952","76","5105376","3","20952"
"108","10","2","5","361","20378952","77","5105376","4","20952"
"108","10","2","6","360","20378952","77","5105376","3","20952"
"108","10","2","7","357","20378952","77","5105376","3","20952"
"108","10","2","8","362","20378952","78","5105376","3","20952"
"108","10","2","9","363","20378952","77","5105376","3","20952"
"108","10","2","10","361","20378952","76","5105376","3","20952"
"108","10","2","11","360","20378952","78","5105376","3","20952"
"108","10","2","12","359","20378952","78","5105376","3","20952"
"108","10","2","13","359","20378952","77","5105376","3","20952"
"108","10","2","14","360","20378952","78","5105376","3","20952"
"108","10","2","15","360","20378952","77","5105376","3","20952"
"120","10","2","0","393","22643280","85","5672640","4","23280"
"120","10","2","1","394","22643280","84","5672640","4","23280"
"120","10","2","2","390","22643280","84","5672640","3","23280"
"120","10","2","3","391","22643280","84","5672640","3","23280"
"120","10","2","4","390","22643280","84","5672640","3","23280"
"120","10","2","5","392","22643280","84","5672640","3","23280"
"120","10","2","6","394","22643280","82","5672640","4","23280"
"120","10","2","7","392","22643280","84","5672640","4","23280"
"120","10","2","8","392","22643280","83","5672640","3","23280"
"120","10","2","9","391","22643280","85","5672640","3","23280"
"120","10","2","10","392","22643280","83","5672640","3","23280"
