"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"100","10","1","0","2810","9816516","81","517716","11","1644"
"100","10","1","1","2489","9816516","74","517716","7","1644"
"100","10","1","2","2530","9816516","70","517716","5","1644"
"100","10","1","3","2508","9816516","70","517716","4","1644"
"100","10","1","4","2477","9816516","66","517716","3","1644"
"100","10","1","5","2475","9816516","62","517716","3","1644"
"100","10","1","6","2700","9816516","64","517716","3","1644"
"100","10","1","7","2472","9816516","65","517716","3","1644"
"100","10","1","8","2469","9816516","64","517716","3","1644"
"100","10","1","9","2488","9816516","62","517716","3","1644"
"100","10","1","10","2466","9816516","64","517716","3","1644"
"100","10","1","11","2480","9816516","64","517716","2","1644"
"100","10","1","12","2479","9816516","63","517716","2","1644"
"100","10","1","13","2469","9816516","66","517716","3","1644"
"100","10","1","14","2466","9816516","61","517716","3","1644"
"100","10","1","15","2472","9816516","63","517716","2","1644"
"100","10","2","0","2531","10283820","69","542328","3","1680"
"100","10","2","1","2535","10283820","68","542328","2","1680"
"100","10","2","2","2540","10283820","69","542328","3","1680"
"100","10","2","3","2528","10283820","69","542328","2","1680"
"100","10","2","4","2532","10283820","71","542328","2","1680"
"100","10","2","5","2539","10283820","69","542328","3","1680"
"100","10","2","6","2536","10283820","70","542328","2","1680"
"100","10","2","7","2534","10283820","71","542328","2","1680"
"100","10","2","8","2548","10283820","70","542328","3","1680"
"100","10","2","9","2522","10283820","73","542328","3","1680"
"100","10","2","10","2530","10283820","67","542328","3","1680"
"100","10","2","11","2523","10283820","70","542328","2","1680"
"100","10","2","12","2535","10283820","71","542328","3","1680"
"100","10","2","13","2529","10283820","68","542328","3","1680"
"100","10","2","14","2550","10283820","68","542328","2","1680"
"100","10","2","15","2533","10283820","68","542328","2","1680"
"100","10","3","0","2424","10751124","61","566940","2","1716"
"100","10","3","1","2433","10751124","60","566940","3","1716"
"100","10","3","2","2431","10751124","60","566940","2","1716"
"100","10","3","3","2418","10751124","63","566940","2","1716"
"100","10","3","4","2444","10751124","62","566940","2","1716"
"100","10","3","5","2441","10751124","77","566940","4","1716"
"100","10","3","6","2429","10751124","60","566940","2","1716"
"100","10","3","7","2445","10751124","62","566940","2","1716"
"100","10","3","8","2440","10751124","61","566940","3","1716"
"100","10","3","9","2617","10751124","66","566940","2","1716"
"100","10","3","10","2451","10751124","61","566940","2","1716"
"100","10","3","11","2453","10751124","62","566940","3","1716"
"100","10","3","12","2465","10751124","62","566940","3","1716"
"100","10","3","13","2478","10751124","65","566940","2","1716"
"100","10","3","14","2510","10751124","63","566940","2","1716"
"100","10","3","15","2548","10751124","73","566940","15","1716"
"100","10","4","0","2578","11218428","66","591552","2","1752"
"100","10","4","1","2607","11218428","69","591552","3","1752"
"100","10","4","2","2675","11218428","67","591552","3","1752"
"100","10","4","3","2494","11218428","64","591552","3","1752"
"100","10","4","4","2493","11218428","64","591552","2","1752"
"100","10","4","5","2471","11218428","64","591552","2","1752"
"100","10","4","6","2462","11218428","64","591552","2","1752"
"100","10","4","7","2481","11218428","61","591552","3","1752"
"100","10","4","8","2466","11218428","62","591552","2","1752"
"100","10","4","9","2476","11218428","61","591552","3","1752"
"100","10","4","10","2477","11218428","63","591552","2","1752"
"100","10","4","11","2473","11218428","62","591552","3","1752"
"100","10","4","12","2485","11218428","62","591552","2","1752"
"100","10","4","13","2469","11218428","64","591552","3","1752"
"100","10","4","14","2456","11218428","64","591552","2","1752"
"100","10","4","15","2465","11218428","63","591552","2","1752"
"100","10","5","0","2514","11685732","66","616164","2","1788"
"100","10","5","1","2518","11685732","66","616164","3","1788"
"100","10","5","2","2509","11685732","65","616164","3","1788"
"100","10","5","3","2526","11685732","68","616164","3","1788"
"100","10","5","4","2516","11685732","63","616164","2","1788"
"100","10","5","5","2452","11685732","63","616164","2","1788"
"100","10","5","6","2460","11685732","64","616164","2","1788"
"100","10","5","7","2458","11685732","64","616164","2","1788"
"100","10","5","8","2473","11685732","64","616164","3","1788"
"100","10","5","9","2461","11685732","65","616164","2","1788"
"100","10","5","10","2450","11685732","63","616164","2","1788"
"100","10","5","11","2489","11685732","65","616164","2","1788"
"100","10","5","12","2481","11685732","65","616164","3","1788"
"100","10","5","13","2453","11685732","62","616164","3","1788"
"100","10","5","14","2453","11685732","62","616164","3","1788"
"100","10","5","15","2451","11685732","65","616164","2","1788"
