"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"100","2","1","0","394","960516","86","320820","10","1164"
"100","2","1","1","233","960516","78","320820","6","1164"
"100","2","1","2","230","960516","65","320820","5","1164"
"100","2","1","3","231","960516","67","320820","3","1164"
"100","2","1","4","212","960516","69","320820","2","1164"
"100","2","1","5","212","960516","66","320820","3","1164"
"100","2","1","6","214","960516","67","320820","2","1164"
"100","2","1","7","217","960516","67","320820","2","1164"
"100","2","1","8","217","960516","68","320820","2","1164"
"100","2","1","9","218","960516","67","320820","2","1164"
"100","2","1","10","219","960516","65","320820","2","1164"
"100","2","1","11","215","960516","65","320820","1","1164"
"100","2","1","12","214","960516","68","320820","2","1164"
"100","2","1","13","216","960516","67","320820","2","1164"
"100","2","1","14","211","960516","67","320820","2","1164"
"100","2","1","15","214","960516","65","320820","1","1164"
"100","3","1","0","430","1723200","71","345432","2","1224"
"100","3","1","1","425","1723200","73","345432","2","1224"
"100","3","1","2","420","1723200","73","345432","2","1224"
"100","3","1","3","424","1723200","68","345432","2","1224"
"100","3","1","4","421","1723200","69","345432","2","1224"
"100","3","1","5","432","1723200","72","345432","2","1224"
"100","3","1","6","422","1723200","71","345432","2","1224"
"100","3","1","7","425","1723200","73","345432","2","1224"
"100","3","1","8","425","1723200","68","345432","2","1224"
"100","3","1","9","425","1723200","73","345432","1","1224"
"100","3","1","10","422","1723200","71","345432","1","1224"
"100","3","1","11","416","1723200","73","345432","2","1224"
"100","3","1","12","431","1723200","69","345432","1","1224"
"100","3","1","13","419","1723200","70","345432","1","1224"
"100","3","1","14","422","1723200","69","345432","2","1224"
"100","3","1","15","420","1723200","69","345432","2","1224"
"100","4","1","0","618","2584260","66","370044","3","1284"
"100","4","1","1","635","2584260","66","370044","2","1284"
"100","4","1","2","621","2584260","65","370044","2","1284"
"100","4","1","3","620","2584260","65","370044","2","1284"
"100","4","1","4","620","2584260","66","370044","2","1284"
"100","4","1","5","621","2584260","66","370044","2","1284"
"100","4","1","6","626","2584260","66","370044","2","1284"
"100","4","1","7","624","2584260","66","370044","2","1284"
"100","4","1","8","627","2584260","65","370044","2","1284"
"100","4","1","9","621","2584260","66","370044","2","1284"
"100","4","1","10","619","2584260","66","370044","2","1284"
"100","4","1","11","618","2584260","65","370044","1","1284"
"100","4","1","12","620","2584260","66","370044","2","1284"
"100","4","1","13","610","2584260","64","370044","2","1284"
"100","4","1","14","622","2584260","68","370044","2","1284"
"100","4","1","15","622","2584260","66","370044","2","1284"
"100","5","1","0","914","3543696","73","394656","2","1344"
"100","5","1","1","909","3543696","71","394656","2","1344"
"100","5","1","2","911","3543696","70","394656","2","1344"
"100","5","1","3","908","3543696","71","394656","2","1344"
"100","5","1","4","912","3543696","70","394656","2","1344"
"100","5","1","5","907","3543696","69","394656","2","1344"
"100","5","1","6","911","3543696","67","394656","2","1344"
"100","5","1","7","912","3543696","67","394656","2","1344"
"100","5","1","8","909","3543696","68","394656","2","1344"
"100","5","1","9","912","3543696","70","394656","2","1344"
"100","5","1","10","917","3543696","69","394656","2","1344"
"100","5","1","11","908","3543696","70","394656","2","1344"
"100","5","1","12","909","3543696","70","394656","2","1344"
"100","5","1","13","902","3543696","72","394656","2","1344"
"100","5","1","14","911","3543696","70","394656","2","1344"
"100","5","1","15","911","3543696","71","394656","2","1344"
"100","6","1","0","1215","4601508","77","419268","2","1404"
"100","6","1","1","1196","4601508","70","419268","2","1404"
"100","6","1","2","1204","4601508","71","419268","2","1404"
"100","6","1","3","1207","4601508","69","419268","2","1404"
"100","6","1","4","1203","4601508","66","419268","1","1404"
"100","6","1","5","1162","4601508","66","419268","2","1404"
"100","6","1","6","1156","4601508","67","419268","2","1404"
"100","6","1","7","1159","4601508","70","419268","2","1404"
"100","6","1","8","1165","4601508","67","419268","2","1404"
"100","6","1","9","1161","4601508","68","419268","2","1404"
"100","6","1","10","1157","4601508","70","419268","2","1404"
"100","6","1","11","1157","4601508","66","419268","2","1404"
"100","6","1","12","1162","4601508","67","419268","2","1404"
"100","6","1","13","1172","4601508","69","419268","2","1404"
"100","6","1","14","1155","4601508","67","419268","2","1404"
"100","6","1","15","1167","4601508","67","419268","2","1404"
"100","7","1","0","1440","5757696","67","443880","3","1464"
"100","7","1","1","1442","5757696","67","443880","2","1464"
"100","7","1","2","1450","5757696","66","443880","2","1464"
"100","7","1","3","1446","5757696","66","443880","2","1464"
"100","7","1","4","1446","5757696","65","443880","2","1464"
"100","7","1","5","1436","5757696","66","443880","2","1464"
"100","7","1","6","1432","5757696","66","443880","2","1464"
"100","7","1","7","1448","5757696","67","443880","2","1464"
"100","7","1","8","1438","5757696","67","443880","2","1464"
"100","7","1","9","1464","5757696","66","443880","2","1464"
"100","7","1","10","1435","5757696","67","443880","2","1464"
"100","7","1","11","1439","5757696","67","443880","2","1464"
"100","7","1","12","1446","5757696","66","443880","2","1464"
"100","7","1","13","1465","5757696","69","443880","2","1464"
