"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"200","0","0","0","1108","45286560","202","11346348","16","46560"
"200","0","0","1","848","45286560","187","11346348","10","46560"
"200","0","0","2","835","45286560","183","11346348","8","46560"
"200","0","0","3","843","45286560","183","11346348","8","46560"
"200","0","0","4","842","45286560","190","11346348","7","46560"
"200","0","0","5","830","45286560","189","11346348","8","46560"
"200","0","0","6","863","45286560","193","11346348","7","46560"
"200","0","0","7","859","45286560","186","11346348","7","46560"
"200","0","0","8","841","45286560","179","11346348","7","46560"
"200","0","0","9","825","45286560","186","11346348","7","46560"
"200","0","0","10","844","45286560","179","11346348","7","46560"
"200","0","0","11","832","45286560","188","11346348","7","46560"
"200","0","0","12","844","45286560","177","11346348","7","46560"
"200","0","0","13","830","45286560","183","11346348","6","46560"
"200","0","0","14","833","45286560","176","11346348","6","46560"
"200","0","0","15","830","45286560","181","11346348","7","46560"
"180","0","0","0","714","40757904","154","10211820","6","41904"
"180","0","0","1","714","40757904","154","10211820","5","41904"
"180","0","0","2","717","40757904","150","10211820","6","41904"
"180","0","0","3","719","40757904","153","10211820","6","41904"
"180","0","0","4","719","40757904","151","10211820","6","41904"
"180","0","0","5","714","40757904","154","10211820","5","41904"
"180","0","0","6","719","40757904","151","10211820","5","41904"
"180","0","0","7","715","40757904","154","10211820","6","41904"
"180","0","0","8","715","40757904","151","10211820","6","41904"
"180","0","0","9","714","40757904","155","10211820","6","41904"
"180","0","0","10","714","40757904","150","10211820","5","41904"
"180","0","0","11","721","40757904","152","10211820","5","41904"
"180","0","0","12","717","40757904","152","10211820","6","41904"
"180","0","0","13","711","40757904","154","10211820","6","41904"
"180","0","0","14","715","40757904","151","10211820","6","41904"
"180","0","0","15","715","40757904","154","10211820","6","41904"
"160","0","0","0","623","36229248","133","9076224","5","37248"
"160","0","0","1","626","36229248","134","9076224","5","37248"
"160","0","0","2","624","36229248","133","9076224","5","37248"
"160","0","0","3","619","36229248","131","9076224","6","37248"
"160","0","0","4","626","36229248","133","9076224","5","37248"
"160","0","0","5","625","36229248","132","9076224","6","37248"
"160","0","0","6","621","36229248","130","9076224","5","37248"
"160","0","0","7","624","36229248","131","9076224","4","37248"
"160","0","0","8","624","36229248","133","9076224","5","37248"
"160","0","0","9","627","36229248","132","9076224","5","37248"
"160","0","0","10","626","36229248","134","9076224","5","37248"
"160","0","0","11","622","36229248","134","9076224","5","37248"
"160","0","0","12","628","36229248","133","9076224","5","37248"
"160","0","0","13","622","36229248","133","9076224","4","37248"
"160","0","0","14","621","36229248","133","9076224","4","37248"
"160","0","0","15","621","36229248","134","9076224","5","37248"
"140","0","0","0","576","31700592","124","7941696","4","32592"
"140","0","0","1","579","31700592","124","7941696","5","32592"
"140","0","0","2","583","31700592","124","7941696","4","32592"
"140","0","0","3","577","31700592","125","7941696","4","32592"
"140","0","0","4","579","31700592","125","7941696","4","32592"
"140","0","0","5","583","31700592","123","7941696","4","32592"
"140","0","0","6","599","31700592","126","7941696","5","32592"
"140","0","0","7","586","31700592","124","7941696","5","32592"
"140","0","0","8","576","31700592","123","7941696","4","32592"
"140","0","0","9","578","31700592","124","7941696","5","32592"
"140","0","0","10","575","31700592","122","7941696","4","32592"
"140","0","0","11","581","31700592","129","7941696","4","32592"
"140","0","0","12","575","31700592","125","7941696","4","32592"
"140","0","0","13","585","31700592","125","7941696","4","32592"
"140","0","0","14","580","31700592","127","7941696","4","32592"
"140","0","0","15","577","31700592","124","7941696","5","32592"
"120","0","0","0","466","27171936","97","6807168","3","27936"
"120","0","0","1","464","27171936","99","6807168","3","27936"
