"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"100","10","1","0","3250","9816516","98","517716","11","1644"
"100","10","1","1","2712","9816516","84","517716","6","1644"
"100","10","1","2","2755","9816516","80","517716","5","1644"
"100","10","1","3","2655","9816516","74","517716","3","1644"
"100","10","1","4","2583","9816516","74","517716","3","1644"
"100","10","1","5","2579","9816516","72","517716","3","1644"
"100","10","1","6","2579","9816516","70","517716","3","1644"
"100","10","1","7","2628","9816516","71","517716","3","1644"
"100","10","1","8","2958","9816516","91","517716","9","1644"
"100","10","1","9","2690","9816516","71","517716","3","1644"
"100","10","1","10","2597","9816516","75","517716","3","1644"
"100","10","1","11","2580","9816516","71","517716","3","1644"
"100","10","1","12","2576","9816516","70","517716","3","1644"
"100","10","1","13","2609","9816516","73","517716","3","1644"
"100","10","1","14","2602","9816516","95","517716","3","1644"
"100","10","1","15","2568","9816516","71","517716","2","1644"
"100","10","2","0","2553","10283820","69","542328","2","1680"
"100","10","2","1","2515","10283820","69","542328","3","1680"
"100","10","2","2","2519","10283820","69","542328","2","1680"
"100","10","2","3","2536","10283820","69","542328","3","1680"
"100","10","2","4","2525","10283820","68","542328","2","1680"
"100","10","2","5","2539","10283820","67","542328","3","1680"
"100","10","2","6","2956","10283820","80","542328","3","1680"
"100","10","2","7","2537","10283820","73","542328","3","1680"
"100","10","2","8","2509","10283820","84","542328","3","1680"
"100","10","2","9","2543","10283820","72","542328","4","1680"
"100","10","2","10","2536","10283820","68","542328","2","1680"
"100","10","2","11","2525","10283820","67","542328","2","1680"
"100","10","2","12","2548","10283820","67","542328","3","1680"
"100","10","2","13","2559","10283820","67","542328","3","1680"
"100","10","2","14","2523","10283820","67","542328","3","1680"
"100","10","2","15","2602","10283820","67","542328","3","1680"
"100","10","3","0","2523","10751124","69","566940","2","1716"
"100","10","3","1","2531","10751124","68","566940","3","1716"
"100","10","3","2","2550","10751124","68","566940","3","1716"
"100","10","3","3","2539","10751124","70","566940","3","1716"
"100","10","3","4","2551","10751124","71","566940","3","1716"
"100","10","3","5","2532","10751124","69","566940","2","1716"
"100","10","3","6","2540","10751124","68","566940","3","1716"
"100","10","3","7","2835","10751124","68","566940","2","1716"
"100","10","3","8","2594","10751124","67","566940","2","1716"
"100","10","3","9","2531","10751124","75","566940","2","1716"
"100","10","3","10","2544","10751124","72","566940","3","1716"
"100","10","3","11","2551","10751124","70","566940","2","1716"
"100","10","3","12","2529","10751124","69","566940","3","1716"
"100","10","3","13","2564","10751124","68","566940","3","1716"
"100","10","3","14","2552","10751124","71","566940","2","1716"
"100","10","3","15","2567","10751124","73","566940","3","1716"
"100","10","4","0","2491","11218428","69","591552","3","1752"
"100","10","4","1","2517","11218428","87","591552","2","1752"
"100","10","4","2","2507","11218428","69","591552","3","1752"
"100","10","4","3","2522","11218428","68","591552","3","1752"
"100","10","4","4","2493","11218428","67","591552","3","1752"
"100","10","4","5","2498","11218428","68","591552","2","1752"
"100","10","4","6","2508","11218428","68","591552","3","1752"
"100","10","4","7","2493","11218428","68","591552","3","1752"
"100","10","4","8","2504","11218428","68","591552","3","1752"
"100","10","4","9","2832","11218428","70","591552","2","1752"
"100","10","4","10","2535","11218428","68","591552","3","1752"
"100","10","4","11","2523","11218428","71","591552","3","1752"
"100","10","4","12","2497","11218428","70","591552","3","1752"
"100","10","4","13","2506","11218428","71","591552","2","1752"
"100","10","4","14","2490","11218428","69","591552","2","1752"
"100","10","4","15","2483","11218428","69","591552","3","1752"
"100","10","5","0","2486","11685732","75","616164","4","1788"
"100","10","5","1","2501","11685732","67","616164","3","1788"
"100","10","5","2","2492","11685732","68","616164","2","1788"
"100","10","5","3","2558","11685732","69","616164","3","1788"
"100","10","5","4","2494","11685732","74","616164","2","1788"
"100","10","5","5","2550","11685732","70","616164","3","1788"
"100","10","5","6","2550","11685732","73","616164","2","1788"
"100","10","5","7","2543","11685732","72","616164","2","1788"
"100","10","5","8","2562","11685732","71","616164","3","1788"
"100","10","5","9","2546","11685732","70","616164","2","1788"
"100","10","5","10","2551","11685732","72","616164","2","1788"
"100","10","5","11","2834","11685732","70","616164","3","1788"
"100","10","5","12","2549","11685732","71","616164","3","1788"
"100","10","5","13","2562","11685732","71","616164","2","1788"
"100","10","5","14","2561","11685732","70","616164","3","1788"
"100","10","5","15","2548","11685732","70","616164","3","1788"
