"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"100","2","1","0","388","960516","83","320820","10","1164"
"100","2","1","1","244","960516","86","320820","4","1164"
"100","2","1","2","242","960516","78","320820","4","1164"
"100","2","1","3","244","960516","76","320820","3","1164"
"100","2","1","4","225","960516","70","320820","2","1164"
"100","2","1","5","217","960516","68","320820","2","1164"
"100","2","1","6","222","960516","66","320820","2","1164"
"100","2","1","7","227","960516","66","320820","3","1164"
"100","2","1","8","224","960516","70","320820","2","1164"
"100","2","1","9","219","960516","70","320820","2","1164"
"100","2","1","10","220","960516","67","320820","2","1164"
"100","2","1","11","223","960516","67","320820","2","1164"
"100","2","1","12","222","960516","69","320820","2","1164"
"100","2","1","13","226","960516","67","320820","2","1164"
"100","2","1","14","224","960516","67","320820","2","1164"
"100","2","1","15","218","960516","68","320820","1","1164"
"100","3","1","0","398","1723200","64","345432","1","1224"
"100","3","1","1","405","1723200","69","345432","2","1224"
"100","3","1","2","416","1723200","74","345432","1","1224"
"100","3","1","3","419","1723200","68","345432","2","1224"
"100","3","1","4","419","1723200","68","345432","2","1224"
"100","3","1","5","417","1723200","69","345432","2","1224"
"100","3","1","6","447","1723200","70","345432","2","1224"
"100","3","1","7","422","1723200","69","345432","2","1224"
"100","3","1","8","419","1723200","67","345432","2","1224"
"100","3","1","9","430","1723200","71","345432","2","1224"
"100","3","1","10","430","1723200","69","345432","2","1224"
"100","3","1","11","417","1723200","67","345432","2","1224"
"100","3","1","12","424","1723200","68","345432","1","1224"
"100","3","1","13","416","1723200","68","345432","2","1224"
"100","3","1","14","416","1723200","69","345432","2","1224"
"100","3","1","15","422","1723200","67","345432","2","1224"
"100","4","1","0","628","2584260","65","370044","2","1284"
"100","4","1","1","635","2584260","74","370044","4","1284"
"100","4","1","2","642","2584260","66","370044","2","1284"
"100","4","1","3","626","2584260","67","370044","2","1284"
"100","4","1","4","632","2584260","66","370044","2","1284"
"100","4","1","5","633","2584260","65","370044","2","1284"
"100","4","1","6","625","2584260","66","370044","2","1284"
"100","4","1","7","625","2584260","68","370044","2","1284"
"100","4","1","8","637","2584260","65","370044","2","1284"
"100","4","1","9","780","2584260","76","370044","4","1284"
"100","4","1","10","689","2584260","64","370044","2","1284"
"100","4","1","11","630","2584260","65","370044","2","1284"
"100","4","1","12","622","2584260","66","370044","2","1284"
"100","4","1","13","627","2584260","65","370044","2","1284"
"100","4","1","14","627","2584260","70","370044","5","1284"
"100","4","1","15","639","2584260","67","370044","2","1284"
"100","5","1","0","920","3543696","72","394656","2","1344"
"100","5","1","1","927","3543696","75","394656","2","1344"
"100","5","1","2","940","3543696","70","394656","2","1344"
"100","5","1","3","916","3543696","70","394656","2","1344"
"100","5","1","4","920","3543696","72","394656","2","1344"
"100","5","1","5","913","3543696","68","394656","2","1344"
"100","5","1","6","920","3543696","71","394656","2","1344"
"100","5","1","7","916","3543696","70","394656","1","1344"
"100","5","1","8","913","3543696","70","394656","2","1344"
"100","5","1","9","955","3543696","71","394656","2","1344"
"100","5","1","10","943","3543696","70","394656","2","1344"
"100","5","1","11","924","3543696","69","394656","2","1344"
"100","5","1","12","917","3543696","67","394656","2","1344"
"100","5","1","13","919","3543696","71","394656","2","1344"
"100","5","1","14","916","3543696","70","394656","2","1344"
"100","5","1","15","913","3543696","71","394656","2","1344"
"100","6","1","0","1188","4601508","68","419268","2","1404"
"100","6","1","1","1190","4601508","68","419268","2","1404"
"100","6","1","2","1184","4601508","69","419268","2","1404"
"100","6","1","3","1192","4601508","69","419268","2","1404"
"100","6","1","4","1197","4601508","72","419268","2","1404"
"100","6","1","5","1214","4601508","68","419268","2","1404"
"100","6","1","6","1219","4601508","68","419268","2","1404"
"100","6","1","7","1215","4601508","69","419268","2","1404"
"100","6","1","8","1216","4601508","69","419268","2","1404"
"100","6","1","9","1225","4601508","69","419268","2","1404"
"100","6","1","10","1225","4601508","68","419268","2","1404"
"100","6","1","11","1214","4601508","71","419268","2","1404"
"100","6","1","12","1219","4601508","70","419268","2","1404"
"100","6","1","13","1215","4601508","70","419268","2","1404"
"100","6","1","14","1216","4601508","68","419268","1","1404"
"100","6","1","15","1220","4601508","68","419268","2","1404"
"100","7","1","0","1556","5757696","70","443880","2","1464"
"100","7","1","1","1558","5757696","70","443880","7","1464"
"100","7","1","2","1580","5757696","69","443880","2","1464"
"100","7","1","3","1836","5757696","74","443880","2","1464"
"100","7","1","4","1567","5757696","71","443880","2","1464"
"100","7","1","5","1557","5757696","70","443880","2","1464"
